"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2018","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2019","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2020","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2021","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2022","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2023","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2024","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2001","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","1234.53","","","","2"
"2002","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","1222.18","","","","2"
"2003","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","","x","","","2"
"2004","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","1422.58","","","","2"
"2005","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","","x","","","2"
"2006","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","","x","","","2"
"2007","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","1606.95","","","","2"
"2008","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","1637.77","","","","2"
"2009","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","1536.45","A","","","2"
"2010","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","1656.45","A","","","2"
"2011","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","1736.54","A","","","2"
"2012","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","1870.23","A","","","2"
"2013","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","1967.41","A","","","2"
"2014","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","2088.68","A","","","2"
"2015","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","2087.77","A","","","2"
"2016","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","2132.08","A","","","2"
"2017","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","2110.24","A","","","2"
"2018","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","2072.44","A","","","2"
"2019","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","2150.98","A","","","2"
"2020","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","2134.43","B","","","2"
"2021","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","","F","","","2"
"2022","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","2024.15","B","","","2"
"2023","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","2336.03","B","","","2"
"2024","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544367816","2.1.1.10","2649.30","B","","","2"
"2001","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","983.03","","","","2"
"2002","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","1089.90","","","","2"
"2003","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2004","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2005","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2006","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2007","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2008","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2009","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2010","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","F","","","2"
"2011","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","F","","","2"
"2012","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","F","","","2"
"2013","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2014","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2015","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","F","","","2"
"2016","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2017","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2018","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2019","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2020","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2021","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2022","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2023","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2024","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544367822","2.1.1.17","","x","","","2"
"2001","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","591.25","","","","2"
"2002","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","616.19","","","","2"
"2003","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","677.25","","","","2"
"2004","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","684.94","","","","2"
"2005","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","732.39","","","","2"
"2006","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","761.83","","","","2"
"2007","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","801.13","","","","2"
"2008","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","884.29","","","","2"
"2009","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","950.85","A","","","2"
"2010","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","952.02","A","","","2"
"2011","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","999.69","A","","","2"
"2012","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","1140.15","A","","","2"
"2013","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","1273.46","A","","","2"
"2014","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","1332.19","A","","","2"
"2015","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","1405.10","A","","","2"
"2016","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","1456.60","A","","","2"
"2017","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","1463.47","A","","","2"
"2018","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","1322.98","A","","","2"
"2019","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","1389.70","A","","","2"
"2020","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","1286.89","B","","","2"
"2021","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","1422.37","B","","","2"
"2022","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","1452.27","B","","","2"
"2023","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","1585.74","B","","","2"
"2024","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741002","2.1.1.21","1562.63","B","","","2"
"2001","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","598.04","","","","2"
"2002","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","617.34","","","","2"
"2003","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","665.01","","","","2"
"2004","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","711.54","","","","2"
"2005","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","799.20","","","","2"
"2006","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","803.09","","","","2"
"2007","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","834.84","","","","2"
"2008","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","875.98","","","","2"
"2009","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","843.65","A","","","2"
"2010","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","803.45","A","","","2"
"2011","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","830.36","A","","","2"
"2012","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","930.78","A","","","2"
"2013","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","950.52","A","","","2"
"2014","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","1069.63","A","","","2"
"2015","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","1067.20","A","","","2"
"2016","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","1137.38","A","","","2"
"2017","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","1094.70","A","","","2"
"2018","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","1086.18","A","","","2"
"2019","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","1117.21","A","","","2"
"2020","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","1180.26","B","","","2"
"2021","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","1206.71","B","","","2"
"2022","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","1284.27","B","","","2"
"2023","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","1386.82","B","","","2"
"2024","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741008","2.1.1.34","1331.01","B","","","2"
"2001","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","435.95","","","","2"
"2002","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","433.40","","","","2"
"2003","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","447.28","","","","2"
"2004","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","458.47","","","","2"
"2005","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","475.64","","","","2"
"2006","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","487.07","","","","2"
"2007","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","501.76","","","","2"
"2008","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","523.29","","","","2"
"2009","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","548.12","A","","","2"
"2010","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","556.79","A","","","2"
"2011","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","584.62","A","","","2"
"2012","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","613.21","A","","","2"
"2013","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","617.33","A","","","2"
"2014","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","638.93","A","","","2"
"2015","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","662.19","A","","","2"
"2016","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","679.09","A","","","2"
"2017","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","682.01","A","","","2"
"2018","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","714.32","A","","","2"
"2019","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","733.21","A","","","2"
"2020","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","771.42","B","","","2"
"2021","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","766.65","B","","","2"
"2022","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","801.35","B","","","2"
"2023","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","811.74","B","","","2"
"2024","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741017","2.1.1.144","879.40","B","","","2"
"2001","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","643.25","","","","2"
"2002","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","687.98","","","","2"
"2003","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","733.19","","","","2"
"2004","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","766.99","","","","2"
"2005","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","772.47","","","","2"
"2006","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","798.98","","","","2"
"2007","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","822.95","","","","2"
"2008","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","829.26","","","","2"
"2009","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","876.84","A","","","2"
"2010","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","887.14","A","","","2"
"2011","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","948.62","A","","","2"
"2012","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","965.61","A","","","2"
"2013","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","987.94","A","","","2"
"2014","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","1093.74","A","","","2"
"2015","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","1124.15","A","","","2"
"2016","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","1074.79","A","","","2"
"2017","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","1120.39","A","","","2"
"2018","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","1072.76","A","","","2"
"2019","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","1111.67","A","","","2"
"2020","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","1178.90","B","","","2"
"2021","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","1174.52","B","","","2"
"2022","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","1251.98","B","","","2"
"2023","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","1268.68","B","","","2"
"2024","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741071","2.1.1.215","1295.71","B","","","2"
"2001","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v1741084","2.1.1.253","720.99","","","","2"
"2002","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v1741084","2.1.1.253","755.94","","","","2"
